data,hora,taxa
2024/11/04,23:42:25,10.039855487975249
2024/11/04,23:42:28,10.744632889397316
2024/11/04,23:42:30,10.444930538996719
2024/11/04,23:42:32,10.074188439638554
2024/11/04,23:42:33,10.089694077480234
2024/11/04,23:42:36,10.176419636025999
2024/11/04,23:42:38,10.84699509602629
2024/11/04,23:42:40,10.599204796110037
2024/11/04,23:42:43,10.227233767079433
2024/11/04,23:42:45,10.101152472475983
2024/11/04,23:44:38,10.913513287620752
2024/11/04,23:44:41,10.31762295120548
2024/11/04,23:44:42,10.327619761810594
2024/11/04,23:44:45,10.511344673128264
2024/11/04,23:44:47,10.349645485860128
2024/11/04,23:44:49,10.013789014204816
2024/11/04,23:44:52,10.274526797083812
2024/11/04,23:44:54,10.93210311018697
2024/11/04,23:44:57,10.339008787062294
2024/11/04,23:44:59,10.038366063477403
2024/11/04,23:45:53,10.576076838972474
2024/11/04,23:45:54,10.110886110747616
2024/11/04,23:45:57,10.629162344774745
2024/11/04,23:45:58,10.542149106676414
2024/11/04,23:46:01,10.18364176396324
2024/11/04,23:46:03,10.828287070491914
2024/11/04,23:46:05,10.489292113981936
2024/11/04,23:46:08,10.484400353012695
2024/11/04,23:46:10,10.474992644628406
2024/11/04,23:46:12,10.929495262943204
